[Connect DataFile][2.1]
Date:	4/12/2022
Time:	14:31:00
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	245.7	51.4	28.6	245.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:00:630		
000:00:00.200	245.7	51.4	28.6	245.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:00:830		
000:00:00.400	246.9	51.4	28.6	247.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:01:030		
000:00:00.600	248.1	51.4	28.6	248.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:01:230		
000:00:00.800	249.1	51.4	28.6	249.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:01:430		
000:00:01.000	249.3	51.4	28.6	249.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:01:630		
000:00:01.200	249.5	51.4	28.6	249.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:01:830		
000:00:01.400	250.3	51.4	28.6	250.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:02:030		
000:00:01.600	251.0	51.4	28.6	251.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:02:230		
000:00:01.800	250.4	51.4	28.6	250.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:02:430		
000:00:02.000	249.8	51.4	28.6	249.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:02:630		
000:00:02.200	250.1	51.4	28.6	250.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:02:830		
000:00:02.400	191.2	51.4	28.6	185.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:03:030		
000:00:02.600	132.3	51.4	28.6	121.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:03:230		
000:00:02.800	103.6	51.4	28.6	103.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:03:430		
000:00:03.000	111.2	51.4	28.6	112.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:03:630		
000:00:03.200	140.1	51.4	28.6	142.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:03:830		
000:00:03.400	169.1	51.4	28.6	173.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:04:030		
000:00:03.600	184.3	51.4	28.6	184.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:04:230		
000:00:03.800	177.3	51.4	28.6	163.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:04:430		
000:00:04.000	148.9	51.4	28.6	141.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:04:630		
000:00:04.200	120.5	51.4	28.6	119.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:04:830		
000:00:04.400	118.4	51.4	28.6	118.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:05:030		
000:00:04.600	116.6	51.4	28.6	116.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:05:230		
000:00:04.800	119.0	51.4	28.6	119.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:05:430		
000:00:05.000	121.4	51.4	28.6	123.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:05:630		
000:00:05.200	149.6	51.4	28.6	151.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:05:830		
000:00:05.400	114.6	51.4	28.6	113.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:06:030		
000:00:05.600	116.8	51.4	28.6	116.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:06:230		
000:00:05.800	119.1	51.4	28.6	119.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:06:430		
000:00:06.000	123.1	51.4	28.6	123.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:06:630		
000:00:06.200	127.9	51.4	28.6	126.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:06:830		
000:00:06.400	127.9	51.4	28.6	128.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:31:07:030		
