[Connect DataFile][2.1]
Date:	4/21/2022
Time:	09:34:23
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	96.0	69.1	26.3	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:23:954		
000:00:00.200	96.0	69.1	26.3	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:24:154		
000:00:00.400	96.0	69.1	26.3	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:24:354		
000:00:00.600	95.5	69.1	26.3	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:24:554		
000:00:00.800	95.4	69.1	26.3	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:24:754		
000:00:01.000	95.3	69.1	26.3	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:24:954		
000:00:01.200	95.5	69.1	26.3	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:25:154		
000:00:01.400	95.6	69.1	26.3	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:25:354		
000:00:01.600	95.8	69.1	26.3	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:25:554		
000:00:01.800	95.9	69.1	26.3	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:25:754		
000:00:02.000	95.9	69.1	26.3	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:25:954		
000:00:02.200	96.2	69.1	26.3	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:26:154		
000:00:02.400	96.1	69.1	26.3	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:26:354		
000:00:02.600	96.1	69.1	26.3	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:34:26:554		
