[Connect DataFile][2.1]
Date:	4/21/2022
Time:	16:32:36
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	94.6	77.2	28.7	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:36:623		
000:00:00.200	94.6	77.2	28.7	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:36:823		
000:00:00.400	94.6	77.2	28.7	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:37:023		
000:00:00.600	95.7	77.2	28.7	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:37:223		
000:00:00.800	96.2	77.2	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:37:423		
000:00:01.000	96.3	77.2	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:37:623		
000:00:01.200	96.3	77.2	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:37:823		
000:00:01.400	96.2	77.2	28.7	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:38:023		
000:00:01.600	96.3	77.2	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:38:223		
000:00:01.800	96.3	77.2	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:38:423		
000:00:02.000	96.2	77.2	28.7	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:38:623		
000:00:02.200	95.7	77.2	28.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:38:823		
000:00:02.400	95.1	77.2	28.7	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:39:023		
000:00:02.600	94.6	77.2	28.7	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:39:223		
000:00:02.800	94.4	77.2	28.7	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:39:423		
000:00:03.000	94.9	77.2	28.7	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:39:623		
000:00:03.200	95.5	77.2	28.7	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:39:823		
000:00:03.400	96.0	77.2	28.7	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:40:023		
000:00:03.600	96.3	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:40:223		
000:00:03.800	96.3	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:40:423		
000:00:04.000	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:40:623		
000:00:04.200	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:40:823		
000:00:04.400	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:41:023		
000:00:04.600	96.4	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:41:223		
000:00:04.800	96.5	77.3	28.7	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:41:423		
000:00:05.000	94.9	77.3	28.7	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:41:623		
000:00:05.200	94.4	77.3	28.7	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:41:823		
000:00:05.400	94.7	77.3	28.7	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:42:023		
000:00:05.600	95.0	77.3	28.7	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:42:223		
000:00:05.800	94.9	77.3	28.7	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:42:423		
000:00:06.000	95.5	77.3	28.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:42:623		
000:00:06.200	95.5	77.3	28.7	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:42:823		
000:00:06.400	95.5	77.3	28.7	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:43:023		
000:00:06.600	95.6	77.3	28.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:43:223		
000:00:06.800	95.8	77.3	28.7	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:43:423		
000:00:07.000	96.1	77.3	28.7	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:43:623		
000:00:07.200	96.0	77.3	28.7	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:43:823		
000:00:07.400	96.2	77.3	28.7	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:44:023		
000:00:07.600	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:44:223		
000:00:07.800	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:44:423		
000:00:08.000	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:44:623		
000:00:08.200	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:44:823		
000:00:08.400	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:45:023		
000:00:08.600	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:45:223		
000:00:08.800	96.4	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:45:423		
000:00:09.000	96.4	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:45:623		
000:00:09.200	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:45:823		
000:00:09.400	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:46:023		
000:00:09.600	96.3	77.3	28.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:46:223		
000:00:09.800	96.4	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:46:423		
000:00:10.000	96.4	77.3	28.7	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:46:623		
000:00:10.200	96.4	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:46:823		
000:00:10.400	96.4	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:47:023		
000:00:10.600	96.4	77.3	28.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		16:32:47:223		
