[Connect DataFile][2.1]
Date:	4/18/2022
Time:	15:52:59
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	94.0	72.7	31.6	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:52:59:587		
000:00:00.200	94.0	72.7	31.6	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:52:59:787		
000:00:00.400	93.9	72.7	31.6	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:52:59:987		
000:00:00.600	93.8	72.7	31.6	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:00:187		
000:00:00.800	93.9	72.7	31.6	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:00:387		
000:00:01.000	93.9	72.7	31.6	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:00:587		
000:00:01.200	93.4	72.7	31.6	93.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:00:787		
000:00:01.400	93.2	72.7	31.6	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:00:987		
000:00:01.600	93.1	72.7	31.6	93.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:01:187		
000:00:01.800	93.0	72.7	31.6	93.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:01:387		
000:00:02.000	93.1	72.7	31.6	93.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:01:587		
000:00:02.200	93.1	72.7	31.6	93.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:01:787		
000:00:02.400	93.1	72.7	31.6	93.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:01:987		
000:00:02.600	93.0	72.7	31.6	93.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:02:187		
000:00:02.800	93.9	72.7	31.6	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:02:387		
000:00:03.000	94.0	72.7	31.6	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:02:587		
000:00:03.200	94.1	72.7	31.6	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:02:787		
000:00:03.400	93.7	72.7	31.6	93.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:02:987		
000:00:03.600	93.1	72.7	31.6	93.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:03:187		
000:00:03.800	93.1	72.7	31.6	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:03:387		
000:00:04.000	93.2	72.7	31.6	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:03:587		
000:00:04.200	94.0	72.7	31.6	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:03:787		
000:00:04.400	94.1	72.7	31.6	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:03:987		
000:00:04.600	94.2	72.7	31.6	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:04:187		
000:00:04.800	94.3	72.7	31.6	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:04:387		
000:00:05.000	94.3	72.7	31.6	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:04:587		
000:00:05.200	94.0	72.8	31.6	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:04:787		
000:00:05.400	94.3	72.8	31.6	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:04:987		
000:00:05.600	94.5	72.8	31.6	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:05:187		
000:00:05.800	93.7	72.8	31.6	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:05:387		
000:00:06.000	93.9	72.8	31.6	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:05:587		
000:00:06.200	94.1	72.8	31.6	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:05:787		
000:00:06.400	93.4	72.8	31.6	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:05:987		
000:00:06.600	93.3	72.8	31.6	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:06:187		
000:00:06.800	93.5	72.8	31.6	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:06:387		
000:00:07.000	93.7	72.8	31.6	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:06:587		
000:00:07.200	93.5	72.8	31.6	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:06:787		
000:00:07.400	93.2	72.8	31.6	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:06:987		
000:00:07.600	93.5	72.8	31.6	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:07:187		
000:00:07.800	93.8	72.8	31.6	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:07:387		
000:00:08.000	93.9	72.8	31.6	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:07:587		
000:00:08.200	94.1	72.8	31.6	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:07:787		
000:00:08.400	94.0	72.8	31.6	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:07:987		
000:00:08.600	93.9	72.8	31.6	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:08:187		
000:00:08.800	93.4	72.8	31.6	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:08:387		
000:00:09.000	93.6	72.8	31.6	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:08:587		
000:00:09.200	93.7	72.8	31.6	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:08:787		
000:00:09.400	94.1	72.8	31.6	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:08:987		
000:00:09.600	94.4	72.8	31.6	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:09:187		
000:00:09.800	94.4	72.8	31.6	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:09:387		
000:00:10.000	94.4	72.8	31.6	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:09:587		
000:00:10.200	94.2	72.8	31.6	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:09:787		
000:00:10.400	94.1	72.8	31.6	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:09:987		
000:00:10.600	94.1	72.8	31.6	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:10:187		
000:00:10.800	94.1	72.8	31.6	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:10:387		
000:00:11.000	94.1	72.8	31.6	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:10:587		
000:00:11.200	93.7	72.8	31.6	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:10:787		
000:00:11.400	93.7	72.8	31.6	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:10:987		
000:00:11.600	93.7	72.8	31.6	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:11:187		
000:00:11.800	93.2	72.8	31.6	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:53:11:387		
